일본어,읽기,뜻,연도,페이지,분류,섹션,검수상태,관계그룹,원본표현,출처파일
公募,,공모,,116,,,,,,~139.csv
護衛,ごぇい,호위,,116,,,,,,~139.csv
極意,ごくい,"비법, ( 예 도 ㆍ 무 술 의) 가장 심오",,116,,,,,,~139.csv
酷評,こくりょう,혹평,,116,,,,,,~139.csv
誤差,,오차,,116,,,,,,~139.csv
骨子,し,골 자 . 요 점,,116,,,,,,~139.csv
粉々,こなごな,산산이 부 서 짐 산산조각,,116,,,,,,~139.csv
根幹,こんかん,근간,,116,,,,,,~139.csv
混雑,こんざっ,혼잡,,116,,,,,,~139.csv
混同,こんどう,호동,,116,,,,,,~139.csv
原油,げんゆ,원유,,116,,,,,,~139.csv
言論,げんろん,언론,,116,,,,,,~139.csv
後悔,,후회,,116,,,,,,~139.csv
鉱業,こうぎょう,광업,,116,,,,,,~139.csv
強情,ごうじょ,고 집 이 셈 완 강 함,,116,,,,,,~139.csv
拘束,こうそく,구속 C,,116,,,,,,~139.csv
朋着,こうゃ,교 척 상 황 변 화가 없음) C,,116,,,,,,~139.csv
叙慢,こうばい,오만함 거 만 함 (5,,116,,,,,,~139.csv
顧客,こきゃく,고객 GD,,116,,,,,,~139.csv
極楽,ら,극락,,116,,,,,,~139.csv
固執,,고집 고수,,116,,,,,,~139.csv
事柄,ことがら,사 항 . 일 . 사 물 의 형 편 . 사 정,,116,,,,,,~139.csv
小幅,こはば,소폭,,116,,,,,,~139.csv
恒久,こう,창 구 영 구,,116,,,,,,~139.csv
述,こう,구술,,116,,,,,,~139.csv
更新,こうしん,갱신,,116,,,,,,~139.csv
構想,,구상,,116,,,,,,~139.csv
後退,,후퇴,,116,,,,,,~139.csv
好評,こうょう,호평,,116,,,,,,~139.csv
候補,こう,후보,,116,,,,,,~139.csv
行楽,こうく,"행락, 나들이",,116,,,,,,~139.csv
コ告訴,,고소,,116,,,,,,~139.csv
コ告知,,"고지, 알림. 통지",,116,,,,,,~139.csv
コ心地,ここち,"기분, 마음",,116,,,,,,~139.csv
固辞,,고 사 (굳이 사 양 함 ),,116,,,,,,~139.csv
コ戸籍,こせき,호적,,116,,,,,,~139.csv
孤独,,고독,,116,,,,,,~139.csv
古墳,こふん,고분,,116,,,,,,~139.csv
根源,こんげん,근원,,116,,,,,,~139.csv
困惑,こんわく,곤혹,,116,,,,,,~139.csv
細工,さいく,공,,117,,,,,,~139.csv
歳月,さいげっ,세월,,117,,,,,,~139.csv
採算,さいさん,채 산 수익성,,117,,,,,,~139.csv
在科,ざいせき,재적. 재학,,117,,,,,,~139.csv
催眠,さいみん,최면,,117,,,,,,~139.csv
作戦,さくせん,직전,,117,,,,,,~139.csv
刷新,さっしん,쇄신,,117,,,,,,~139.csv
作用,さよう,작용,,117,,,,,,~139.csv
参観,さんかん,참관,,117,,,,,,~139.csv
産出,さんしゅう,산출,,117,,,,,,~139.csv
産物,さんぶつ,"산물, 생산물",,117,,,,,,~139.csv
歯科,しか,치과,,117,,,,,,~139.csv
磁気,じき,자 기 ( 자 석 이 갖는 작 용 ㆍ 성질,,117,,,,,,~139.csv
施行,しこう,시 행 . 실 시,,117,,,,,,~139.csv
思索,しさく,사색,,117,,,,,,~139.csv
視線,しせん,시선,,117,,,,,,~139.csv
下地,したじ,"준비, 기초, 소질",,117,,,,,,~139.csv
失格,しっかく,실격,,117,,,,,,~139.csv
採掘,さいくつ,채굴,,117,,,,,,~139.csv
再現,さいげん,재현,,117,,,,,,~139.csv
採集,さきいしゃ,채집,,117,,,,,,~139.csv
栽培,さいばい,재배,,117,,,,,,~139.csv
最良,さいりょう,최선 가 장 좋음,,117,,,,,,~139.csv
詐欺,,자,,117,,,,,,~139.csv
策略,,책략,,117,,,,,,~139.csv
殺到,さっとう,"쇄도, 한꺼번에 밀 려 들",,117,,,,,,~139.csv
酸化,さんか,산화,,117,,,,,,~139.csv
残金,ざんきん,조금,,117,,,,,,~139.csv
残高,ざんだか,"잔고, 잔액",,117,,,,,,~139.csv
帆脈,,산맥,,117,,,,,,~139.csv
自我,じが,자아,,117,,,,,,~139.csv
試行,しこう,시 행 시 험 삼아 행함),,117,,,,,,~139.csv
至極,,"지 극 , 더 없음 극히",,117,,,,,,~139.csv
資産,しさん,자산,,117,,,,,,~139.csv
師匠,ししょう,선 생 스 승,,117,,,,,,~139.csv
持続,,지속,,117,,,,,,~139.csv
採決,きいけっ,채결,,117,,,,,,~139.csv
財源,ざいげん,재원,,117,,,,,,~139.csv
財政,ざいせい,재정,,117,,,,,,~139.csv
細胞,さいぼう,서포,,117,,,,,,~139.csv
裁量,さいりょう,재 랑 ( 자 율 적 인 판단),,117,,,,,,~139.csv
錯誤,,차오,,117,,,,,,~139.csv
挫折,ざせっ,좌절,,117,,,,,,~139.csv
冊子,さっし,책자,,117,,,,,,~139.csv
山岳,さんがく,산악,,117,,,,,,~139.csv
惨事,さんじ,참사,,117,,,,,,~139.csv
惨敗,ざんばぱい,참패,,117,,,,,,~139.csv
飼育,しいく,사욕,,117,,,,,,~139.csv
磁器,,자 기 (도자기,,117,,,,,,~139.csv
資源,しげん,자원,,117,,,,,,~139.csv
志向,,지 량,,117,,,,,,~139.csv
辞職,じ,사직,,117,,,,,,~139.csv
下心,したごころ,본심. 속셈. 숨겨진 의도,,117,,,,,,~139.csv
実家,じっか,본가 친정,,117,,,,,,~139.csv
質疑,しっぎ,질의 질문,,117,,,,,,~139.csv
老舗,しにせ,노포 오래된 점포,,118,,,,,,~139.csv
志望,しぼう,지망,,118,,,,,,~139.csv
使命,しめい,사명,,118,,,,,,~139.csv
謝辞,しゃしじ,감 사 의 말,,118,,,,,,~139.csv
邪魔,じゃま,방해,,118,,,,,,~139.csv
修学,しゅうがく,수 학 학 문 을 익 힘 ),,118,,,,,,~139.csv
収支,しゅうげき,수지,,118,,,,,,~139.csv
従属,しゅうしょく,종속,,118,,,,,,~139.csv
修了,しぁゅうりょう,수르,,118,,,,,,~139.csv
受給,じゅきゅう,수 급 ( 급 여 나 배 급 을 받음),,118,,,,,,~139.csv
激女,しきくしじょ,숙녀,,118,,,,,,~139.csv
手芸,しゅげい,수예 수공예,,118,,,,,,~139.csv
授与,しじゅよ,수여,,118,,,,,,~139.csv
小康,しははうこう,"소강, 조금 안 정 됨",,118,,,,,,~139.csv
成就,,성취,,118,,,,,,~139.csv
焦燥,しょうそう,초조,,118,,,,,,~139.csv
実態,じったい,실태 :,,118,,,,,,~139.csv
自負,じふ,"자부 ,",,118,,,,,,~139.csv
脂肪,しぼう,제방 ;,,118,,,,,,~139.csv
謝絶,しもん,사절 i,,118,,,,,,~139.csv
砂利,じゃり,자갈 j,,118,,,,,,~139.csv
周期,き,주기 i,,118,,,,,,~139.csv
秀作,しゅうさく,"수작, 걸작",,118,,,,,,~139.csv
収縮,,수축,,118,,,,,,~139.csv
終生,しゅうせい,"일 생 동 안 , 평 생",,118,,,,,,~139.csv
拾得,,습득,,118,,,,,,~139.csv
収録,しゅうぅろく,수록,,118,,,,,,~139.csv
需給,じゅきゅう,수 급 수 요 와 공립,,118,,,,,,~139.csv
熟益,,"숙 려 , 숙 고",,118,,,,,,~139.csv
主権,,주권,,118,,,,,,~139.csv
主軸,しゅじく,주축,,118,,,,,,~139.csv
出帆,しゅっぱん,출범,,118,,,,,,~139.csv
愛理,じゅり,수 리 ( 문 서 를 받아서 처리),,118,,,,,,~139.csv
賞賛,しはうさん,칭찬,,118,,,,,,~139.csv
消息,いうそく,소식,,118,,,,,,~139.csv
指摘,してき,지적,,118,,,,,,~139.csv
司法,しほう,사법,,118,,,,,,~139.csv
始末,しまっ,결 과 . 골 . 모 양,,118,,,,,,~139.csv
謝罪,しゃざい,사죄,,118,,,,,,~139.csv
若干,じゃっかん,"약 간 , 어 느 정도",,118,,,,,,~139.csv
収穫,しぁうかく,수확,,118,,,,,,~139.csv
就業,しゅうきょう,취업,,118,,,,,,~139.csv
修士,しぁうし,석사,,118,,,,,,~139.csv
重傷,じゅうしょう,중상,,118,,,,,,~139.csv
終息,しぁうそく,종식,,118,,,,,,~139.csv
就任,しにん,취임,,118,,,,,,~139.csv
守衛,しゅえい,수위,,118,,,,,,~139.csv
祝賀,しゅが,축하,,118,,,,,,~139.csv
熟練,しゅくれん,숙련,,118,,,,,,~139.csv
主催,しゅさい,주최,,118,,,,,,~139.csv
主唱,しゅしょう,주창 주장,,118,,,,,,~139.csv
等備,び,수비,,118,,,,,,~139.csv
樹立,しゅりつ,수립,,118,,,,,,~139.csv
証言,いうげん,증언,,118,,,,,,~139.csv
上質,じょうしっ,상 질 . 질 이 좋음,,118,,,,,,~139.csv
精進,しょうじん,정 진 . 전 념,,118,,,,,,~139.csv
正体,しょうたい,정체,,118,,,,,,~139.csv
所持,ちょしょっかく,소지,,119,,,,,,~139.csv
指令,しれいしろうと,지령,,119,,,,,,~139.csv
有師走,しわすしんがい,선 달 음력 12 월,,119,,,,,,~139.csv
心境,しんきょう,심경,,119,,,,,,~139.csv
攻,にしんさい,침공 0 8%,,119,,,,,,~139.csv
縮,,신 축 (늘이고 줄임),,119,,,,,,~139.csv
相,そうじんち,진상,,119,,,,,,~139.csv
星きる,しんてん,드림,,119,,,,,,~139.csv
懇,しわざ,아마추어,,119,,,,,,~139.csv
神聖,しんせい,시성,,119,,,,,,~139.csv
新築,しんちく,신 축 (새로,,119,,,,,,~139.csv
診療,しんょ,지로,,119,,,,,,~139.csv
随所,ずいしょ,도처. 여기:,,119,,,,,,~139.csv
政局,せいきょく,정국,,119,,,,,,~139.csv
精算,せいさん,정산,,119,,,,,,~139.csv
整頓,せいとん,정돈,,119,,,,,,~139.csv
税務,ぜいむ,세무,,119,,,,,,~139.csv
世論,せるん,여 론 쇼 34 으 로도 읽음),,120,,,,,,~139.csv
宣言,せんげん,선언,,120,,,,,,~139.csv
全盛,ぜんせい,전성),,120,,,,,,~139.csv
先導,,선도,,120,,,,,,~139.csv
船舶,せんばぱく,선박,,120,,,,,,~139.csv
占領,せんりょう,점,,120,,,,,,~139.csv
総会,そうかい,총회,,120,,,,,,~139.csv
遭遇,そうぐう,조 우 (우연히 만남),,120,,,,,,~139.csv
操縦,そうじゅう,조종,,120,,,,,,~139.csv
装着,そうちゃく,장착,,120,,,,,,~139.csv
遭難,そうなん,조난,,120,,,,,,~139.csv
阻害,そがい,저해,,120,,,,,,~139.csv
測定,そくてい,측정,,120,,,,,,~139.csv
素質,をしっ,소질,,120,,,,,,~139.csv
尊厳,そんげん,존엄,,120,,,,,,~139.csv
退却,た,퇴 각 . 후 퇴,,120,,,,,,~139.csv
絶望,ぜつぼう,절망,,120,,,,,,~139.csv
繊維,せんい,섬유,,120,,,,,,~139.csv
戦災,せんさい,전 재 ( 전 쟁 으로 인한 재해),,120,,,,,,~139.csv
洪水,せんすい,잠수,,120,,,,,,~139.csv
前提,ぜんてい,전제,,120,,,,,,~139.csv
潜入,,잠입,,120,,,,,,~139.csv
雑木,ぜんりょう,집 록,,120,,,,,,~139.csv
捜索,そうさく,수색,,120,,,,,,~139.csv
増進,ぞうしん,증진,,120,,,,,,~139.csv
贈呈,そうぅてい,증정,,120,,,,,,~139.csv
そう,,가,,120,,,,,,~139.csv
装備,,정비,,120,,,,,,~139.csv
促進,そくしん,촉진,,120,,,,,,~139.csv
狙撃,そげき,저격,,120,,,,,,~139.csv
耐久,,"내구, 오 래 견 담",,120,,,,,,~139.csv
態勢,たいせい,태세,,120,,,,,,~139.csv
旋回,せんかい,선회,,120,,,,,,~139.csv
組織,そしき,조직,,120,,,,,,~139.csv
即刻,そっこく,죽 각 . 곧,,120,,,,,,~139.csv
人退治,たいじ,퇴치,,120,,,,,,~139.csv
大勢,たいせい,대세,,120,,,,,,~139.csv
橋円,だえん,타원,,121,,,,,,~139.csv
愛結,だけっ,타결,,121,,,,,,~139.csv
達人,たつじん,달인,,121,,,,,,~139.csv
嘆願,たんがん,탄원,,121,,,,,,~139.csv
炭素,たんそ,탄소,,121,,,,,,~139.csv
弾力,,탄력,,121,,,,,,~139.csv
者産,ちくさん,축산,,121,,,,,,~139.csv
提供,ていきょう,저공,,121,,,,,,~139.csv
吾,ていし,겉 모 양 2 체면,,121,,,,,,~139.csv
停止,,정 지 (하던 일,,121,,,,,,~139.csv
停滞,ていたい,자 금 : 경 기?,,121,,,,,,~139.csv
適宜,てきぎ,적 딩 함,,121,,,,,,~139.csv
鉄鋼,てぐち,철강,,121,,,,,,~139.csv
探検,たんけん,탐험,,121,,,,,,~139.csv
手錠,てじょう,수갑,,121,,,,,,~139.csv
撤収,てっ,철수,,121,,,,,,~139.csv
伝言,でんごん,전언,,121,,,,,,~139.csv
洞察,どうさっ,통찰,,122,,,,,,~139.csv
揺,どうよう,동요,,122,,,,,,~139.csv
得策,とくさく,상책,,122,,,,,,~139.csv
土木,とっけん,토목,,122,,,,,,~139.csv
内蔵,ないぞう,내 징 ( 내 부 에 가지.,,122,,,,,,~139.csv
納得,なっとく,납득,,122,,,,,,~139.csv
熱量,ねつりょう,열량,,122,,,,,,~139.csv
年配,ねんばい,"연배, 나이 또래 @ 중년",,122,,,,,,~139.csv
農耕,のうこう,농경,,122,,,,,,~139.csv
媒介,ばいかい,매개,,122,,,,,,~139.csv
濃縮,ねんぶつ,농축,,122,,,,,,~139.csv
排気,はいき,배기,,122,,,,,,~139.csv
動向,,동향,,122,,,,,,~139.csv
到達,とうたっ,도달,,122,,,,,,~139.csv
同等,,동등,,122,,,,,,~139.csv
答弁,とうべん,답변,,122,,,,,,~139.csv
度胸,,"담력, 배짱",,122,,,,,,~139.csv
独創,,독창,,122,,,,,,~139.csv
特許,とっきょ,특허,,122,,,,,,~139.csv
雪崩,なだれ,눈사태,,122,,,,,,~139.csv
熱湯,ねっとう,열 탕 . 뜨 거 운 물,,122,,,,,,~139.csv
年賀,ねんが,신년 축하,,122,,,,,,~139.csv
燃焼,ねんしょう,연소,,122,,,,,,~139.csv
燃料,ねんりょう,연료,,122,,,,,,~139.csv
倍率,ばいりっ,배율,,123,,,,,,~139.csv
迫害,はくがい,박해,,123,,,,,,~139.csv
爆弾,ばくだん,폭탄,,123,,,,,,~139.csv
破綻,はたん,파탄,,123,,,,,,~139.csv
発注,はっちゅう,발주,,123,,,,,,~139.csv
繁栄,はんえい,번영,,123,,,,,,~139.csv
万人,ばんに,만인,,123,,,,,,~139.csv
悲観,ひかん,비관,,123,,,,,,~139.csv
備藩,びちく,비축,,123,,,,,,~139.csv
匹敵,ひってき,필적,,123,,,,,,~139.csv
因回計所弄,ひとなみ,단심,,123,,,,,,~139.csv
飛躍,ひやゃく,비약,,123,,,,,,~139.csv
肥料,ひょ,비로,,123,,,,,,~139.csv
服装,ふくそう,복장,,123,,,,,,~139.csv
ト,ふきつ,짐 을 ( 임 무 를) 짐,,123,,,,,,~139.csv
平常,へいじょう,"평상, 평소 보통",,124,,,,,,~139.csv
偏見,へんけん,편견,,124,,,,,,~139.csv
舗装,そう,포 장 공 세,,124,,,,,,~139.csv
紛失,ふんしつっ,분실,,124,,,,,,~139.csv
分離,ぶんり,분리,,124,,,,,,~139.csv
法廷,ほうてい,법정,,124,,,,,,~139.csv
物議,ぶっぎ,"물의, 논란",,124,,,,,,~139.csv
不慮,,의외,,124,,,,,,~139.csv
噴火,ふんか,분화,,124,,,,,,~139.csv
粉砕,ふんさい,분쇄,,124,,,,,,~139.csv
没収,ぼっしぁう,몰수,,124,,,,,,~139.csv
麻酔,ますい,마취,,125,,,,,,~139.csv
免責,めんせき,면책,,125,,,,,,~139.csv
養護,ようご,양 호 ( 보 살 피고 보 호 함 ),,125,,,,,,~139.csv
無線,むえん,"무 연 고, 관 계 가 없음",,125,,,,,,~139.csv
優勢,ゆうせい,우세,,125,,,,,,~139.csv
雄弁,ゆうべん,응 변,,125,,,,,,~139.csv
様式,ようしき,양식,,125,,,,,,~139.csv
予兆,よ,"예조 전조, 징조",,126,,,,,,~139.csv
赴出,ろしっ,노출,,126,,,,,,~139.csv
り,あ,"끝 남 ,( 근 무 ㆍ 일) 마침",,126,,,,,,~139.csv
ありさま,,상 태 형 편,,126,,,,,,~139.csv
うたたね,,짐 . 입 은 잠,,126,,,,,,~139.csv
裏返し,うらがえ,뒤 잡음,,126,,,,,,~139.csv
抑揚,よくよう,억양,,126,,,,,,~139.csv
酷農,らくのう,낙농,,126,,,,,,~139.csv
理屈,りくっ,도리,,126,,,,,,~139.csv
利息,そく,이자,,126,,,,,,~139.csv
領土,りょうど,영토,,126,,,,,,~139.csv
臨終,,임종,,126,,,,,,~139.csv
惑星,わくせい,혹성,,126,,,,,,~139.csv
跡継ぎ言,ぁとつ,"이음, 후계자",,126,,,,,,~139.csv
抑留,よくり,억류,,126,,,,,,~139.csv
興論,よるん,여 르,,126,,,,,,~139.csv
利子,,이자,,126,,,,,,~139.csv
利便,りん,"편 리 , 편 의",,126,,,,,,~139.csv
旅券,りょけん,여권,,126,,,,,,~139.csv
連行,れんこう,연행,,126,,,,,,~139.csv
連盟,れんめい,연맹,,126,,,,,,~139.csv
労力,ろうりょく,노 력 . 수 고,,126,,,,,,~139.csv
腕力,わんりょく,완력. ( 딸 의 힘,,126,,,,,,~139.csv
あられ,,싸 락 눈,,126,,,,,,~139.csv
うぬぼれ,,자만. 우 풀 해 함,,126,,,,,,~139.csv
おまけ,,값 을 2a. 덤 . 경품,,126,,,,,,~139.csv
花粉症,かふんしょう,꽂 가 루 알레르기,,127,,,,,,~139.csv
気兼ね,,"어 럽게 여김, 스스럼",,127,,,,,,~139.csv
くじ,,제 비 추 첨,,127,,,,,,~139.csv
差し引き,さひ,공제 정 산 결과,,127,,,,,,~139.csv
しずく,しか,불 봉 울,,127,,,,,,~139.csv
そっぽ,しょうねんば,"다 른 쪽 , 딴 쪽",,127,,,,,,~139.csv
たきび,だ,모닥불,,127,,,,,,~139.csv
和宙返り,ちゅうがえ,"공 중 제비, 공 중 회전",,127,,,,,,~139.csv
手がかり,で,"단서, 실마리",,127,,,,,,~139.csv
出直し,でなお,다 시 함,,127,,,,,,~139.csv
戸惑い,ままと,당 횡 함 引 避 時 당 혹 함,,127,,,,,,~139.csv
取り返し,とかえ,되 찾 음 만 회 . 복 원,,127,,,,,,~139.csv
度忘れ,,감 박 잊 어 버림,,127,,,,,,~139.csv
気まぐれ,き,변덕 C,,127,,,,,,~139.csv
さなか,,한 창 ~ 인 때,,127,,,,,,~139.csv
しぐさ,,몸짓 E,,127,,,,,,~139.csv
下調べ,したしら,"예비 조 사 , 예 습 C",,127,,,,,,~139.csv
下取り,したど,신 품 의 대금 일부로 중 고 품 을 픈,,127,,,,,,~139.csv
ずぶぬれ,,층 벅 젖 음 C,,127,,,,,,~139.csv
っ,だん,에,,127,,,,,,~139.csv
継ぎ目,,이음매 이 은 자리 E,,127,,,,,,~139.csv
手さばき,,손놀림 ls,,127,,,,,,~139.csv
手の平,,손바닥,,127,,,,,,~139.csv
取り調べ,しら,조 사 수 사 문 초 신 문,,127,,,,,,~139.csv
感無量,かんむりょう,강 개 무량,,127,,,,,,~139.csv
き,,호 し め,,127,,,,,,~139.csv
生真面目,,고 지 식 함,,127,,,,,,~139.csv
仕打ち,けだもの,님 에 대 한) 처사,,127,,,,,,~139.csv
しつけ,みゃ,예의 범 절 을 가르침,,127,,,,,,~139.csv
擦れ違い,ちが,"마 주 스 쳐 지 나감, 엇갈",,127,,,,,,~139.csv
蛋白質,たんばくしつ,단백질,,127,,,,,,~139.csv
つぼみ,,꽃 봉 우리,,127,,,,,,~139.csv
手付き,る,솜씨 손놀림,,127,,,,,,~139.csv
手直し,てなお,불 완 전 한 곳 을 고침,,127,,,,,,~139.csv
戸締まり,,분,,127,,,,,,~139.csv
取り柄,とえ,"취할 점 쓸모, 장점",,127,,,,,,~139.csv
取り所,どこ,취 할 점 장점,,127,,,,,,~139.csv
ねばり,,찰 기 곤 기,,128,,,,,,~139.csv
ばい菌,きん,세 2,,128,,,,,,~139.csv
裸足,はだし,맨발,,128,,,,,,~139.csv
日取り,ひ,"날 짜 를 정함, 기일, 일:",,128,,,,,,~139.csv
不祥事,ふいはうじ,불상사 불 미 스러운,,128,,,,,,~139.csv
前売り,まえ,예매,,128,,,,,,~139.csv
丸ごと,まる,통 \(2) 은 통,,128,,,,,,~139.csv
見通し,みとお,"전망, 장 래 의 예측",,128,,,,,,~139.csv
身振り,みぶ,몸짓,,128,,,,,,~139.csv
むら,,열 록,,128,,,,,,~139.csv
もくろみ,,계획 의 도 . 목 적,,128,,,,,,~139.csv
タ暮れ,ゆう,황혼 해 질 녁,,128,,,,,,~139.csv
良し悪し,よぁあぁ,종 고 나 봄 선악,,128,,,,,,~139.csv
渡り烏,どり,철새,,128,,,,,,~139.csv
根回し,ねまわ,사 전 교섭,,128,,,,,,~139.csv
配偶者,はいぐうしゃ,배우자,,128,,,,,,~139.csv
発起人,ほっきにん,발기인,,128,,,,,,~139.csv
被疑者,ひぎしゃ,피의자 용의자,,128,,,,,,~139.csv
ひなた,,양 지 잉 달,,128,,,,,,~139.csv
真っ二つ,ふじしじょうり,두 통 강 딱 절반,,128,,,,,,~139.csv
まんえん,,만연,,128,,,,,,~139.csv
結び付き,もむすっ,결속,,128,,,,,,~139.csv
目付き,っ,"눈 의 표 정 , 눈 초리",,128,,,,,,~139.csv
持ち切り,,그 상 태 나 화 제 가 계 속통,,128,,,,,,~139.csv
タ焼け,,저녁놀,,128,,,,,,~139.csv
よそ見,み,한 눈 팔 결 눈 질,,128,,,,,,~139.csv
割り当て,わあ,할당. 배당,,128,,,,,,~139.csv
念入り,ねんい,"조 심 스러움, 공 들 임",,128,,,,,,~139.csv
人並み,ひとな,"보통 정도, 남 과 같 음",,128,,,,,,~139.csv
不可解,かかい,"불 가 해, 이 해 할 수 없음",,128,,,,,,~139.csv
まばたき,,눈 김 박 임,,128,,,,,,~139.csv
見積もり,みっ,이림. 견적,,128,,,,,,~139.csv
みは,,주,,128,,,,,,~139.csv
見晴らし,,전망,,128,,,,,,~139.csv
無駄遣い,もむだづか,낭비. slol 谷,,128,,,,,,~139.csv
容疑者,りを,용의자,,128,,,,,,~139.csv
よだれ,,흘 리 는 ) 침 군침,,128,,,,,,~139.csv
臨機応変,りんきおうへん,임기응변,,128,,,,,,~139.csv
仰ぐ,あお,"쳐 다 보다, 우 러 러 보다 0;",,129,,,,,,~139.csv
飽きる,,질 리 다 0,,129,,,,,,~139.csv
あせる,ぁ,색 이 ) 바 래 다 nf,,129,,,,,,~139.csv
虹,あぁば,"폭 로 하다, 파 헤 치 다 m1",,129,,,,,,~139.csv
荒らす,ぁ,"망 치 다, 間谷 叶 Rh",,129,,,,,,~139.csv
案じる,,걱 정 하다. 염 려 하다 (a:,,129,,,,,,~139.csv
意気込む,いきごし,힙 을 내다 ggslF,,129,,,,,,~139.csv
薄まる,うあぁ,열 어 지다 (mg:,,129,,,,,,~139.csv
疎んじる,,실 어 하 다 멀 리 하 0 해,,129,,,,,,~139.csv
演じる,えん,무 대 에서) 연 기 하다 @ (어떤 역할,,129,,,,,,~139.csv
興る,おこお,"흥 하다, 일 어 나 다",,129,,,,,,~139.csv
修める,おさお,"다다, 수 양 하다",,129,,,,,,~139.csv
推す,おおそ,밀 다 추 진 시키다,,129,,,,,,~139.csv
落ち合う,おあぁおちり,만나다 합 류 하다,,129,,,,,,~139.csv
コおどす,ち,위 협 하다,,129,,,,,,~139.csv
赤らむ,,"붉 어 지 다 , 불 그 레 해지다 0 商 う",,129,,,,,,~139.csv
欺く,あぁさむ,속이다,,129,,,,,,~139.csv
値する,あたい,할 만하다. ~ 에 싱 당하다 0 あつ,,129,,,,,,~139.csv
甘える,あま,"응 석 부리다, 어 리 광 부리다",,129,,,,,,~139.csv
改まる,,"새 로 워 지 다 , 격 식 을 차 리다 7 著 す",,129,,,,,,~139.csv
生ける,いいた,꽃 등 을 ) 꽂 다,,129,,,,,,~139.csv
傷める,いた,롤 건 - 음 식 ㆍ 신 체 ) 상 하 게 하다 1 営,,129,,,,,,~139.csv
受け継ぐ,っ,이 어 받다 き sckr,,129,,,,,,~139.csv
細めるの千呈叶,うず,얼 굴 을 ) 파 묻다 0 打 ち 」,,129,,,,,,~139.csv
半む,るお,"울 먹 이다, ( 습 기 로 흐 러지 0 老い",,129,,,,,,~139.csv
える,さおさ,"억 제 하다, 믹 다",,129,,,,,,~139.csv
甲し切る,おきお,강 행 하 다 무 르다,,129,,,,,,~139.csv
トドろす,くるれ,"내리다, ( 돈 을) 찾다",,129,,,,,,~139.csv
う,,"장 사 하다, 판 매 하다",,129,,,,,,~139.csv
ざわらう,,"조 소 하 다 , 비 옷 다",,129,,,,,,~139.csv
つらえる,,"주 문 하다, 맞추다",,129,,,,,,~139.csv
る,,"부 추 기 다 , 띄 워 주다",,129,,,,,,~139.csv
す,,저 솔 히다,,129,,,,,,~139.csv
っだてる,,초 조 하게 akck ofefect,,129,,,,,,~139.csv
切る,,중 단 하다,,129,,,,,,~139.csv
寄せる,,"밀려 들다, 밀어 닥 치 다",,129,,,,,,~139.csv
れる,,함 정 ( 계 략 ) 에 빠 뜨 리 다,,129,,,,,,~139.csv
る,,"애 지 나, 엉 하게 하나",,130,,,,,,~139.csv
かける,,"걸다, 내 기 를 하다",,130,,,,,,~139.csv
かする,,스 치 다,,130,,,,,,~139.csv
適える,,들 어 맞추다 @ 충족,,130,,,,,,~139.csv
かぶれる,,"웃 등 을) 타다, ns",,130,,,,,,~139.csv
枯れるミ,か,"마르다, 시들",,130,,,,,,~139.csv
着飾る旨ぇ民費,きかざ,성장해,,130,,,,,,~139.csv
兆す下,きざ,징 조 가 보이다,,130,,,,,,~139.csv
中する,きっ,"마시다, 피우다, 당하다",,130,,,,,,~139.csv
組み込む,ちる,짜 넣다 편 성 하다,,130,,,,,,~139.csv
企てる,くもだ,"계 회 하다, 피하다",,130,,,,,,~139.csv
さえずる,てこころ,새 기 지 저 퀴 다,,130,,,,,,~139.csv
差し出す,さだ,"내밀다, 제 출 하 다 . 봄",,130,,,,,,~139.csv
定まる,さだ,정 해 지 다,,130,,,,,,~139.csv
悟る,さきと,깨 단다,,130,,,,,,~139.csv
さまよう,,"방 황 하 다 , 헤 매 다",,130,,,,,,~139.csv
仕入れる,しい,"사 들 이다, ofejskc",,130,,,,,,~139.csv
かさむ,,부 피 가 커 지다,,130,,,,,,~139.csv
傾ける,,기 울 이 다,,130,,,,,,~139.csv
傷付く,きずつ,상 처 률 입다,,130,,,,,,~139.csv
組み合わせる,あ,짜 맞추다 편 성 하,,130,,,,,,~139.csv
繰り上げる,あ,예 정 보다) 앞 당 기 다,,130,,,,,,~139.csv
煙る,けむ,"연 기 가나다, 부 예 지 다",,130,,,,,,~139.csv
裂ける,さ,갈 라 지 다,,130,,,,,,~139.csv
裁く,さば,"시 비 를 가 리 다, 심 판 하다",,130,,,,,,~139.csv
さらう,,"채 다, 채 가다",,130,,,,,,~139.csv
かすす,,"안 개 가 끼 다, 희 미 하게 보이다",,130,,,,,,~139.csv
奏でる,かな,연 주 하다,,130,,,,,,~139.csv
かばう,,"강 싸 다 , 비 호 하다",,130,,,,,,~139.csv
構える,かま,"깃 추 다, 자 세 를 취하다",,130,,,,,,~139.csv
交わす,,"주 고 받다, 교 환 하다",,130,,,,,,~139.csv
競う,,"다 투 다 , 경 쟁 하다",,130,,,,,,~139.csv
ずさす,くち,"율 조 리 다 , 층 얼 거리다",,130,,,,,,~139.csv
繰り下げる,さ,뒤로 돌 리 다 불 리다),,130,,,,,,~139.csv
心掛ける,てここが,항 상 주 의 하 다 명 심 하다,,130,,,,,,~139.csv
こもる,,"자 욱 하다, 가득 차다",,130,,,,,,~139.csv
懲りる,,"질 리 다, 넌 더 리 가나다",,130,,,,,,~139.csv
